+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 52.44 | -91.30 | 0.51 |      51     |   76.89    |
|  Gen 2   | 54.22 | -88.40 | 0.61 |      56     |   74.67    |
|  Gen 3   | 54.22 | -84.23 | 0.62 |      42     |   81.33    |
|  Gen 4   | 52.00 | -86.30 | 0.55 |      58     |   73.78    |
|  Gen 5   | 51.11 | -87.10 | 0.53 |      56     |   75.11    |
|  Gen 6   | 51.11 | -86.93 | 0.52 |      53     |   76.44    |
|  Gen 7   | 54.22 | -83.07 | 0.56 |      55     |   75.56    |
|  Gen 8   | 52.44 | -84.50 | 0.47 |      58     |   73.33    |
|  Gen 9   | 52.00 | -84.73 | 0.50 |      53     |   76.00    |
|  Gen 10  | 55.11 | -81.47 | 0.62 |      53     |   76.00    |
|  Gen 11  | 52.89 | -83.40 | 0.59 |      54     |   76.00    |
|  Gen 12  | 52.44 | -83.30 | 0.54 |      56     |   75.11    |
|  Gen 13  | 54.22 | -81.40 | 0.57 |      55     |   74.67    |
|  Gen 14  | 52.89 | -82.53 | 0.52 |      56     |   75.11    |
|  Gen 15  | 51.11 | -84.17 | 0.53 |      50     |   77.78    |
|  Gen 16  | 52.89 | -82.30 | 0.56 |      47     |   78.67    |
|  Gen 17  | 52.00 | -83.20 | 0.55 |      53     |   75.56    |
|  Gen 18  | 50.67 | -84.10 | 0.53 |      59     |   73.33    |
|  Gen 19  | 53.33 | -81.13 | 0.52 |      54     |   75.56    |
|  Gen 20  | 52.89 | -81.47 | 0.55 |      40     |   82.22    |
|  Gen 21  | 52.00 | -82.17 | 0.59 |      51     |   76.89    |
|  Gen 22  | 52.44 | -80.90 | 0.53 |      41     |   81.33    |
|  Gen 23  | 52.00 | -81.23 | 0.51 |      56     |   74.22    |
|  Gen 24  | 51.11 | -82.00 | 0.54 |      52     |   76.44    |
|  Gen 25  | 52.00 | -80.10 | 0.56 |      47     |   78.67    |
|  Gen 26  | 49.78 | -82.23 | 0.61 |      53     |   76.44    |
|  Gen 27  | 52.89 | -79.00 | 0.55 |      55     |   75.56    |
|  Gen 28  | 52.89 | -79.03 | 0.53 |      60     |   73.33    |
|  Gen 29  | 52.89 | -78.93 | 0.53 |      55     |   75.56    |
|  Gen 30  | 53.78 | -78.00 | 0.51 |      49     |   77.33    |
|  Gen 31  | 52.00 | -79.73 | 0.53 |      47     |   78.67    |
|  Gen 32  | 49.78 | -81.90 | 0.54 |      60     |   72.89    |
|  Gen 33  | 52.00 | -79.57 | 0.58 |      44     |   80.00    |
|  Gen 34  | 51.56 | -79.60 | 0.55 |      58     |   74.22    |
|  Gen 35  | 49.33 | -81.67 | 0.52 |      48     |   78.22    |
|  Gen 36  | 52.00 | -78.77 | 0.54 |      52     |   76.89    |
|  Gen 37  | 51.11 | -79.60 | 0.54 |      39     |   82.22    |
|  Gen 38  | 49.78 | -80.93 | 0.53 |      55     |   75.56    |
|  Gen 39  | 53.33 | -77.07 | 0.55 |      44     |   80.44    |
|  Gen 40  | 50.67 | -79.70 | 0.55 |      50     |   77.33    |
|  Gen 41  | 50.67 | -79.60 | 0.55 |      54     |   76.00    |
|  Gen 42  | 52.00 | -78.20 | 0.53 |      53     |   76.00    |
|  Gen 43  | 50.22 | -79.90 | 0.54 |      52     |   76.44    |
|  Gen 44  | 49.78 | -80.23 | 0.57 |      55     |   75.11    |
|  Gen 45  | 52.44 | -77.60 | 0.52 |      49     |   77.78    |
|  Gen 46  | 51.11 | -78.70 | 0.51 |      55     |   75.11    |
|  Gen 47  | 52.00 | -77.80 | 0.50 |      50     |   77.78    |
|  Gen 48  | 51.56 | -78.13 | 0.50 |      50     |   77.33    |
|  Gen 49  | 55.11 | -74.37 | 0.58 |      60     |   73.33    |
|  Gen 50  | 49.33 | -80.23 | 0.48 |      51     |   76.44    |
| Best GC  | 55.11 | -74.37 | 0.58 |      60     |   73.33    |
| Best MFE | 52.44 | -91.30 | 0.51 |      51     |   76.89    |
| Best CAI | 54.22 | -84.23 | 0.62 |      42     |   81.33    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
