+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 51.30 | -182.10 | 0.45 |     108     |   74.00    |
|  Gen 2   | 51.06 | -180.80 | 0.49 |     103     |   75.41    |
|  Gen 3   | 49.41 | -178.87 | 0.45 |     107     |   73.76    |
|  Gen 4   | 52.01 | -174.97 | 0.46 |     104     |   75.41    |
|  Gen 5   | 52.72 | -173.60 | 0.47 |     116     |   72.10    |
|  Gen 6   | 52.72 | -172.63 | 0.50 |     101     |   75.89    |
|  Gen 7   | 52.01 | -173.30 | 0.47 |     105     |   74.94    |
|  Gen 8   | 52.01 | -173.07 | 0.51 |     107     |   74.70    |
|  Gen 9   | 52.01 | -173.13 | 0.45 |     110     |   73.76    |
|  Gen 10  | 51.30 | -173.33 | 0.45 |     102     |   75.65    |
|  Gen 11  | 51.30 | -173.23 | 0.49 |     110     |   73.76    |
|  Gen 12  | 51.54 | -172.80 | 0.50 |     108     |   74.23    |
|  Gen 13  | 51.54 | -172.63 | 0.47 |     105     |   75.18    |
|  Gen 14  | 51.77 | -172.20 | 0.50 |     112     |   73.29    |
|  Gen 15  | 51.54 | -172.23 | 0.47 |     107     |   74.00    |
|  Gen 16  | 50.35 | -173.33 | 0.48 |     106     |   74.47    |
|  Gen 17  | 50.59 | -172.80 | 0.48 |     100     |   76.12    |
|  Gen 18  | 51.54 | -171.80 | 0.48 |     106     |   74.70    |
|  Gen 19  | 50.12 | -173.20 | 0.45 |     104     |   75.18    |
|  Gen 20  | 50.59 | -172.60 | 0.47 |     107     |   74.70    |
|  Gen 21  | 52.01 | -170.80 | 0.47 |     111     |   73.52    |
|  Gen 22  | 49.88 | -172.87 | 0.45 |     107     |   74.70    |
|  Gen 23  | 50.83 | -171.80 | 0.45 |     102     |   75.65    |
|  Gen 24  | 51.30 | -171.23 | 0.45 |     108     |   74.23    |
|  Gen 25  | 52.25 | -169.90 | 0.49 |     114     |   72.81    |
|  Gen 26  | 51.06 | -171.10 | 0.47 |      99     |   76.12    |
|  Gen 27  | 51.54 | -170.60 | 0.44 |     103     |   75.41    |
|  Gen 28  | 49.88 | -171.97 | 0.48 |     108     |   74.47    |
|  Gen 29  | 51.30 | -170.30 | 0.50 |     110     |   73.52    |
|  Gen 30  | 50.35 | -170.77 | 0.47 |     105     |   74.94    |
|  Gen 31  | 52.01 | -169.07 | 0.46 |     112     |   73.52    |
|  Gen 32  | 50.12 | -170.50 | 0.48 |      99     |   76.60    |
|  Gen 33  | 48.70 | -171.93 | 0.47 |     109     |   73.76    |
|  Gen 34  | 51.30 | -169.27 | 0.50 |     103     |   75.65    |
|  Gen 35  | 50.35 | -170.00 | 0.46 |     108     |   74.00    |
|  Gen 36  | 52.01 | -168.07 | 0.48 |     111     |   73.52    |
|  Gen 37  | 51.06 | -168.73 | 0.44 |     110     |   73.52    |
|  Gen 38  | 50.59 | -168.93 | 0.49 |     112     |   73.05    |
|  Gen 39  | 50.83 | -168.67 | 0.46 |     108     |   74.47    |
|  Gen 40  | 50.83 | -168.47 | 0.49 |     111     |   73.52    |
|  Gen 41  | 50.83 | -168.37 | 0.48 |     110     |   73.76    |
|  Gen 42  | 49.41 | -169.77 | 0.48 |     108     |   74.23    |
|  Gen 43  | 52.25 | -166.73 | 0.48 |     103     |   75.65    |
|  Gen 44  | 52.48 | -166.40 | 0.45 |     117     |   72.10    |
|  Gen 45  | 50.35 | -168.43 | 0.48 |     113     |   72.81    |
|  Gen 46  | 52.01 | -166.50 | 0.48 |     112     |   73.52    |
|  Gen 47  | 50.12 | -168.30 | 0.47 |     106     |   74.70    |
|  Gen 48  | 49.65 | -168.37 | 0.46 |     103     |   75.65    |
|  Gen 49  | 51.06 | -166.80 | 0.50 |     106     |   74.70    |
|  Gen 50  | 50.59 | -167.30 | 0.48 |     103     |   75.65    |
| Best GC  | 52.72 | -158.70 | 0.48 |     110     |   74.00    |
| Best MFE | 51.30 | -182.10 | 0.45 |     108     |   74.00    |
| Best CAI | 52.01 | -173.07 | 0.51 |     107     |   74.70    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
