+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 47.99 | -168.00 | 0.48 |     115     |   72.81    |
|  Gen 2   | 46.34 | -167.97 | 0.47 |      92     |   78.25    |
|  Gen 3   | 45.86 | -167.60 | 0.45 |     104     |   75.41    |
|  Gen 4   | 47.52 | -164.70 | 0.48 |     106     |   74.70    |
|  Gen 5   | 47.52 | -163.33 | 0.47 |     101     |   75.89    |
|  Gen 6   | 46.10 | -164.13 | 0.49 |     102     |   75.65    |
|  Gen 7   | 47.75 | -162.00 | 0.47 |     103     |   75.41    |
|  Gen 8   | 46.34 | -163.03 | 0.46 |     102     |   75.89    |
|  Gen 9   | 46.57 | -162.70 | 0.47 |     103     |   75.41    |
|  Gen 10  | 47.52 | -161.33 | 0.42 |     115     |   72.81    |
|  Gen 11  | 47.52 | -160.70 | 0.49 |     113     |   73.29    |
|  Gen 12  | 46.10 | -162.07 | 0.45 |     109     |   73.76    |
|  Gen 13  | 46.57 | -161.40 | 0.48 |     100     |   76.12    |
|  Gen 14  | 44.44 | -163.23 | 0.46 |      93     |   78.01    |
|  Gen 15  | 47.04 | -160.57 | 0.50 |     101     |   75.89    |
|  Gen 16  | 43.03 | -164.63 | 0.46 |     110     |   74.00    |
|  Gen 17  | 46.10 | -161.50 | 0.48 |      94     |   77.54    |
|  Gen 18  | 46.10 | -161.17 | 0.42 |      98     |   76.36    |
|  Gen 19  | 44.68 | -162.27 | 0.43 |      84     |   79.67    |
|  Gen 20  | 45.63 | -161.27 | 0.47 |      99     |   76.60    |
|  Gen 21  | 45.39 | -161.40 | 0.45 |     107     |   74.23    |
|  Gen 22  | 45.86 | -160.77 | 0.44 |     109     |   74.00    |
|  Gen 23  | 45.86 | -160.73 | 0.46 |     102     |   75.89    |
|  Gen 24  | 46.81 | -159.53 | 0.44 |     103     |   75.41    |
|  Gen 25  | 45.39 | -160.87 | 0.46 |     101     |   75.89    |
|  Gen 26  | 47.28 | -158.83 | 0.43 |     114     |   73.05    |
|  Gen 27  | 47.52 | -158.23 | 0.40 |     100     |   76.36    |
|  Gen 28  | 45.86 | -159.57 | 0.48 |     109     |   74.23    |
|  Gen 29  | 46.10 | -159.37 | 0.43 |     110     |   74.00    |
|  Gen 30  | 44.21 | -160.80 | 0.46 |      95     |   77.54    |
|  Gen 31  | 46.57 | -158.03 | 0.44 |      96     |   77.30    |
|  Gen 32  | 47.04 | -157.53 | 0.45 |      98     |   76.60    |
|  Gen 33  | 42.79 | -161.43 | 0.43 |     106     |   74.47    |
|  Gen 34  | 47.75 | -156.37 | 0.44 |     102     |   75.65    |
|  Gen 35  | 46.10 | -158.00 | 0.44 |     102     |   75.65    |
|  Gen 36  | 45.39 | -158.63 | 0.41 |     101     |   76.12    |
|  Gen 37  | 45.15 | -158.77 | 0.43 |     107     |   74.23    |
|  Gen 38  | 47.04 | -156.80 | 0.47 |     103     |   75.65    |
|  Gen 39  | 44.44 | -159.07 | 0.43 |     105     |   74.94    |
|  Gen 40  | 45.15 | -158.30 | 0.46 |     105     |   74.94    |
|  Gen 41  | 47.28 | -156.13 | 0.45 |     106     |   74.94    |
|  Gen 42  | 45.63 | -157.70 | 0.44 |     103     |   75.18    |
|  Gen 43  | 45.86 | -157.40 | 0.46 |      97     |   76.83    |
|  Gen 44  | 45.63 | -156.83 | 0.42 |     115     |   72.81    |
|  Gen 45  | 46.34 | -156.07 | 0.46 |      97     |   77.07    |
|  Gen 46  | 46.57 | -155.63 | 0.48 |     110     |   73.52    |
|  Gen 47  | 46.34 | -155.80 | 0.42 |      87     |   79.43    |
|  Gen 48  | 43.74 | -158.40 | 0.39 |     106     |   74.70    |
|  Gen 49  | 43.74 | -158.13 | 0.42 |     109     |   74.00    |
|  Gen 50  | 44.92 | -156.87 | 0.42 |     102     |   75.89    |
| Best GC  | 47.99 | -168.00 | 0.48 |     115     |   72.81    |
| Best MFE | 47.99 | -168.00 | 0.48 |     115     |   72.81    |
| Best CAI | 47.04 | -160.57 | 0.50 |     101     |   75.89    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
