+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 51.56 | -88.23 | 0.56 |      53     |   76.00    |
|  Gen 2   | 52.89 | -84.60 | 0.53 |      56     |   74.67    |
|  Gen 3   | 51.56 | -85.47 | 0.58 |      57     |   74.67    |
|  Gen 4   | 49.78 | -86.60 | 0.52 |      51     |   77.33    |
|  Gen 5   | 48.44 | -87.73 | 0.52 |      49     |   77.33    |
|  Gen 6   | 48.89 | -85.70 | 0.49 |      46     |   78.67    |
|  Gen 7   | 50.22 | -84.00 | 0.50 |      51     |   76.89    |
|  Gen 8   | 52.00 | -82.13 | 0.52 |      61     |   72.44    |
|  Gen 9   | 53.33 | -80.67 | 0.59 |      60     |   73.33    |
|  Gen 10  | 51.56 | -82.40 | 0.53 |      53     |   76.00    |
|  Gen 11  | 50.67 | -83.00 | 0.54 |      66     |   70.67    |
|  Gen 12  | 53.33 | -80.20 | 0.56 |      53     |   76.44    |
|  Gen 13  | 50.22 | -83.30 | 0.52 |      54     |   75.56    |
|  Gen 14  | 53.33 | -80.10 | 0.49 |      51     |   76.89    |
|  Gen 15  | 54.67 | -78.30 | 0.54 |      51     |   76.89    |
|  Gen 16  | 53.78 | -78.77 | 0.52 |      54     |   76.00    |
|  Gen 17  | 49.33 | -83.00 | 0.51 |      53     |   76.00    |
|  Gen 18  | 51.56 | -80.40 | 0.54 |      54     |   76.00    |
|  Gen 19  | 51.56 | -80.03 | 0.52 |      50     |   77.33    |
|  Gen 20  | 52.44 | -78.97 | 0.50 |      58     |   73.78    |
|  Gen 21  | 52.00 | -79.23 | 0.62 |      47     |   79.11    |
|  Gen 22  | 52.44 | -78.80 | 0.53 |      57     |   74.67    |
|  Gen 23  | 49.78 | -80.93 | 0.53 |      54     |   76.00    |
|  Gen 24  | 51.56 | -78.97 | 0.54 |      56     |   75.11    |
|  Gen 25  | 52.44 | -77.90 | 0.55 |      56     |   75.11    |
|  Gen 26  | 52.00 | -78.37 | 0.52 |      52     |   76.89    |
|  Gen 27  | 52.00 | -78.23 | 0.49 |      47     |   79.11    |
|  Gen 28  | 50.67 | -79.50 | 0.53 |      54     |   76.00    |
|  Gen 29  | 52.89 | -77.20 | 0.56 |      52     |   76.44    |
|  Gen 30  | 49.33 | -80.73 | 0.53 |      50     |   77.78    |
|  Gen 31  | 49.78 | -80.20 | 0.52 |      50     |   77.33    |
|  Gen 32  | 51.56 | -78.27 | 0.52 |      50     |   77.33    |
|  Gen 33  | 50.67 | -79.00 | 0.46 |      55     |   75.56    |
|  Gen 34  | 48.89 | -80.57 | 0.58 |      52     |   76.89    |
|  Gen 35  | 51.11 | -78.30 | 0.48 |      51     |   77.33    |
|  Gen 36  | 52.44 | -76.70 | 0.53 |      59     |   73.33    |
|  Gen 37  | 48.44 | -80.73 | 0.48 |      50     |   77.78    |
|  Gen 38  | 49.78 | -79.33 | 0.51 |      48     |   78.22    |
|  Gen 39  | 49.78 | -79.17 | 0.51 |      52     |   76.44    |
|  Gen 40  | 50.67 | -78.20 | 0.52 |      63     |   71.56    |
|  Gen 41  | 46.67 | -81.97 | 0.52 |      50     |   77.33    |
|  Gen 42  | 49.78 | -78.77 | 0.54 |      53     |   76.44    |
|  Gen 43  | 52.44 | -76.10 | 0.53 |      52     |   76.89    |
|  Gen 44  | 48.00 | -80.53 | 0.53 |      52     |   76.89    |
|  Gen 45  | 51.11 | -77.10 | 0.56 |      54     |   76.00    |
|  Gen 46  | 52.00 | -76.07 | 0.56 |      56     |   74.67    |
|  Gen 47  | 52.00 | -75.73 | 0.53 |      55     |   75.11    |
|  Gen 48  | 50.67 | -76.90 | 0.62 |      56     |   74.67    |
|  Gen 49  | 49.78 | -77.93 | 0.50 |      51     |   76.44    |
|  Gen 50  | 52.44 | -75.17 | 0.56 |      52     |   76.44    |
| Best GC  | 54.67 | -78.30 | 0.54 |      51     |   76.89    |
| Best MFE | 51.56 | -88.23 | 0.56 |      53     |   76.00    |
| Best CAI | 50.67 | -76.90 | 0.62 |      56     |   74.67    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
