+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 45.63 | -168.37 | 0.47 |     116     |   72.34    |
|  Gen 2   | 45.39 | -167.47 | 0.47 |     110     |   74.00    |
|  Gen 3   | 46.34 | -166.00 | 0.50 |     100     |   76.12    |
|  Gen 4   | 47.04 | -165.00 | 0.47 |     112     |   73.05    |
|  Gen 5   | 45.86 | -164.60 | 0.49 |     106     |   74.70    |
|  Gen 6   | 46.34 | -163.77 | 0.49 |     103     |   75.41    |
|  Gen 7   | 46.57 | -163.27 | 0.50 |     108     |   74.47    |
|  Gen 8   | 46.34 | -163.40 | 0.51 |     112     |   73.29    |
|  Gen 9   | 47.04 | -162.43 | 0.51 |     113     |   73.29    |
|  Gen 10  | 45.39 | -163.70 | 0.45 |     110     |   74.00    |
|  Gen 11  | 44.92 | -163.97 | 0.48 |     115     |   72.58    |
|  Gen 12  | 45.39 | -163.27 | 0.48 |     112     |   73.29    |
|  Gen 13  | 46.34 | -162.13 | 0.47 |     113     |   73.29    |
|  Gen 14  | 45.15 | -163.27 | 0.46 |     112     |   73.52    |
|  Gen 15  | 47.28 | -161.07 | 0.46 |     109     |   74.23    |
|  Gen 16  | 46.10 | -161.70 | 0.48 |     109     |   74.23    |
|  Gen 17  | 46.34 | -160.87 | 0.48 |     112     |   73.52    |
|  Gen 18  | 45.15 | -161.80 | 0.47 |     111     |   73.76    |
|  Gen 19  | 45.86 | -160.80 | 0.47 |     108     |   74.47    |
|  Gen 20  | 45.86 | -160.73 | 0.49 |     111     |   73.52    |
|  Gen 21  | 45.39 | -160.97 | 0.48 |     108     |   74.23    |
|  Gen 22  | 45.39 | -160.97 | 0.47 |     108     |   74.23    |
|  Gen 23  | 45.39 | -160.83 | 0.48 |     113     |   73.29    |
|  Gen 24  | 46.34 | -159.80 | 0.48 |     104     |   75.18    |
|  Gen 25  | 44.92 | -161.10 | 0.49 |     108     |   74.23    |
|  Gen 26  | 45.39 | -160.50 | 0.48 |     102     |   75.89    |
|  Gen 27  | 46.57 | -159.27 | 0.48 |     109     |   74.00    |
|  Gen 28  | 45.63 | -160.10 | 0.49 |     106     |   74.47    |
|  Gen 29  | 47.04 | -158.53 | 0.47 |     106     |   74.70    |
|  Gen 30  | 44.21 | -161.13 | 0.45 |     111     |   73.52    |
|  Gen 31  | 46.81 | -158.43 | 0.48 |     106     |   74.70    |
|  Gen 32  | 45.86 | -159.13 | 0.48 |     104     |   75.41    |
|  Gen 33  | 46.34 | -158.57 | 0.51 |     104     |   75.41    |
|  Gen 34  | 45.15 | -159.63 | 0.46 |     102     |   75.89    |
|  Gen 35  | 44.92 | -159.83 | 0.48 |     104     |   75.41    |
|  Gen 36  | 45.86 | -158.87 | 0.47 |     105     |   75.18    |
|  Gen 37  | 45.86 | -158.83 | 0.48 |     103     |   75.65    |
|  Gen 38  | 47.28 | -157.30 | 0.47 |     106     |   74.70    |
|  Gen 39  | 46.10 | -158.40 | 0.48 |     110     |   74.00    |
|  Gen 40  | 44.21 | -160.03 | 0.48 |     112     |   73.52    |
|  Gen 41  | 45.86 | -158.30 | 0.47 |     108     |   74.47    |
|  Gen 42  | 45.63 | -158.33 | 0.45 |     107     |   74.70    |
|  Gen 43  | 46.34 | -157.57 | 0.43 |     106     |   74.94    |
|  Gen 44  | 45.63 | -158.20 | 0.45 |     116     |   72.58    |
|  Gen 45  | 44.68 | -158.87 | 0.47 |     115     |   72.81    |
|  Gen 46  | 45.15 | -158.13 | 0.48 |     107     |   74.70    |
|  Gen 47  | 44.92 | -158.23 | 0.47 |     110     |   73.52    |
|  Gen 48  | 45.15 | -157.93 | 0.48 |     112     |   73.52    |
|  Gen 49  | 46.34 | -156.73 | 0.46 |     112     |   73.29    |
|  Gen 50  | 45.86 | -157.13 | 0.48 |     111     |   73.76    |
| Best GC  | 47.52 | -152.77 | 0.47 |     108     |   74.47    |
| Best MFE | 45.63 | -168.37 | 0.47 |     116     |   72.34    |
| Best CAI | 46.34 | -158.57 | 0.51 |     104     |   75.41    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
