+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 53.78 | -85.80 | 0.54 |      48     |   78.67    |
|  Gen 2   | 52.89 | -85.37 | 0.53 |      59     |   73.78    |
|  Gen 3   | 55.56 | -82.50 | 0.54 |      54     |   76.00    |
|  Gen 4   | 54.67 | -81.37 | 0.48 |      51     |   77.33    |
|  Gen 5   | 52.89 | -82.00 | 0.51 |      51     |   77.33    |
|  Gen 6   | 55.11 | -79.47 | 0.55 |      53     |   76.44    |
|  Gen 7   | 52.89 | -81.20 | 0.54 |      52     |   76.89    |
|  Gen 8   | 54.67 | -79.37 | 0.53 |      48     |   78.67    |
|  Gen 9   | 53.78 | -80.27 | 0.51 |      52     |   76.89    |
|  Gen 10  | 54.67 | -79.20 | 0.52 |      59     |   73.78    |
|  Gen 11  | 55.11 | -78.77 | 0.48 |      55     |   75.56    |
|  Gen 12  | 53.78 | -79.80 | 0.54 |      55     |   75.56    |
|  Gen 13  | 52.44 | -81.10 | 0.55 |      46     |   79.56    |
|  Gen 14  | 55.11 | -78.30 | 0.49 |      56     |   75.11    |
|  Gen 15  | 54.22 | -79.10 | 0.51 |      49     |   78.22    |
|  Gen 16  | 52.44 | -80.70 | 0.45 |      55     |   75.56    |
|  Gen 17  | 52.89 | -79.87 | 0.52 |      50     |   77.78    |
|  Gen 18  | 55.11 | -77.60 | 0.49 |      55     |   75.56    |
|  Gen 19  | 54.22 | -78.30 | 0.51 |      55     |   75.56    |
|  Gen 20  | 53.78 | -78.67 | 0.48 |      50     |   77.78    |
|  Gen 21  | 54.22 | -78.00 | 0.54 |      54     |   76.00    |
|  Gen 22  | 52.89 | -79.30 | 0.46 |      50     |   77.78    |
|  Gen 23  | 53.33 | -78.80 | 0.49 |      52     |   76.89    |
|  Gen 24  | 53.33 | -78.60 | 0.52 |      53     |   76.44    |
|  Gen 25  | 53.78 | -78.10 | 0.47 |      55     |   75.56    |
|  Gen 26  | 54.22 | -77.50 | 0.53 |      46     |   79.56    |
|  Gen 27  | 54.22 | -77.30 | 0.49 |      55     |   75.56    |
|  Gen 28  | 54.67 | -76.70 | 0.49 |      54     |   76.00    |
|  Gen 29  | 52.89 | -78.40 | 0.50 |      52     |   76.89    |
|  Gen 30  | 53.78 | -77.50 | 0.48 |      49     |   78.22    |
|  Gen 31  | 55.56 | -75.50 | 0.53 |      53     |   76.44    |
|  Gen 32  | 52.89 | -78.23 | 0.48 |      52     |   76.89    |
|  Gen 33  | 52.00 | -79.10 | 0.48 |      53     |   76.44    |
|  Gen 34  | 52.89 | -78.10 | 0.50 |      50     |   77.78    |
|  Gen 35  | 51.56 | -79.30 | 0.57 |      43     |   80.89    |
|  Gen 36  | 53.33 | -77.60 | 0.48 |      56     |   75.11    |
|  Gen 37  | 52.89 | -78.00 | 0.47 |      44     |   80.44    |
|  Gen 38  | 54.67 | -75.83 | 0.47 |      56     |   75.11    |
|  Gen 39  | 53.33 | -76.93 | 0.48 |      50     |   77.78    |
|  Gen 40  | 54.22 | -76.00 | 0.50 |      46     |   79.56    |
|  Gen 41  | 51.56 | -78.43 | 0.54 |      53     |   76.44    |
|  Gen 42  | 55.56 | -74.50 | 0.45 |      56     |   75.11    |
|  Gen 43  | 52.00 | -78.00 | 0.48 |      55     |   75.56    |
|  Gen 44  | 54.22 | -75.77 | 0.44 |      55     |   75.11    |
|  Gen 45  | 52.44 | -77.40 | 0.54 |      51     |   77.33    |
|  Gen 46  | 52.89 | -76.90 | 0.51 |      51     |   77.33    |
|  Gen 47  | 52.00 | -77.80 | 0.47 |      53     |   76.44    |
|  Gen 48  | 55.56 | -74.17 | 0.51 |      55     |   75.56    |
|  Gen 49  | 51.56 | -78.13 | 0.49 |      41     |   81.78    |
|  Gen 50  | 52.00 | -77.57 | 0.50 |      52     |   76.89    |
| Best GC  | 56.00 | -73.00 | 0.48 |      51     |   77.33    |
| Best MFE | 53.78 | -85.80 | 0.54 |      48     |   78.67    |
| Best CAI | 53.78 | -74.10 | 0.57 |      48     |   78.67    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
